# command:    ssu-cmsearch --hmm-cW 1.5 --no-null3 --noalign -T -1 --tab ssu-align-results/ssu-align-results.tab --viterbi /vortexfs1/home/dgellermcgrath/.conda/envs/genex/share/ssu-align-0.1.1/ssu-align-0p1.cm all_genes.fa
# date:       Thu Jan 30 23:39:06 2020
# num seqs:   1666625
# dbsize(Mb): 3475.125818
#
# Pre-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: archaea
#                                                                  target coord   query coord                         
#                                                        ----------------------  ------------                         
# model name  target name                                     start        stop  start   stop    bit sc   E-value  GC%
# ----------  -----------------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  archaea     MAG_386_1_117                                     549         566      1   1508      1.17         -   39
  archaea     MAG_386_1_118                                     273         248      1   1508      0.27         -   42
  archaea     MAG_386_1_119                                     948         921      1   1508      2.13         -   43
  archaea     MAG_386_1_120                                    1175         311      1   1508      0.28         -   38
  archaea     MAG_386_1_122                                    1298        1272      1   1508      2.22         -   52
  archaea     MAG_386_1_123                                     656         669      1   1508     -0.72         -   43
  archaea     MAG_386_1_123                                    1092        1079      1   1508     -0.72         -   21
  archaea     MAG_386_1_124                                     511         497      1   1508     -0.81         -   40
  archaea     MAG_386_1_125                                     667         676      1   1508     -0.37         -   50
  archaea     MAG_386_1_125                                     941         929      1   1508     -0.63         -   38
  archaea     MAG_386_1_127                                    1422        1395      1   1508     -0.35         -   57
  archaea     MAG_386_1_128                                     424         399      1   1508      0.25         -   38
  archaea     MAG_386_1_131                                     482         475      1   1508     -0.19         -   38
  archaea     MAG_386_1_135                                      10          25      1   1508      2.31         -   31
  archaea     MAG_386_1_136                                     303         290      1   1508     -0.72         -   21
  archaea     MAG_386_1_137                                     472         429      1   1508      6.84         -   43
  archaea     MAG_386_1_138                                    1099        1061      1   1508     -0.91         -   44
  archaea     MAG_386_1_141                                      23          48      1   1508      2.31         -   54
  archaea     MAG_386_1_142                                      73          60      1   1508     -0.68         -   29
  archaea     MAG_386_1_143                                     184         177      1   1508     -0.19         -   38
  archaea     MAG_386_1_144                                      44          29      1   1508      1.30         -   31
  archaea     MAG_386_1_145                                     456         441      1   1508      1.30         -   31
  archaea     MAG_386_1_147                                     790         772      1   1508     -0.96         -   42
  archaea     MAG_386_1_151                                     448         460      1   1508     -0.63         -   38
  archaea     MAG_386_1_151                                      32          16      1   1508     -0.82         -   35
  archaea     MAG_386_1_154                                     649         657      1   1508     -0.28         -   33
  archaea     MAG_386_1_155                                     265         273      1   1508      1.76         -   44
  archaea     MAG_386_1_155                                    1530         868      1   1508      1.44         -   46
  archaea     MAG_386_1_159                                     647         663      1   1508      1.05         -   35
  archaea     MAG_386_1_161                                    1536        1527      1   1508     -0.37         -   30
  archaea     MAG_386_1_162                                     521         513      1   1508     -0.72         -   44
  archaea     MAG_386_1_165                                     744         158      1   1508     -0.26         -   40
  archaea     MAG_386_1_166                                    1545        1563      1   1508      0.89         -   26
  archaea     MAG_386_1_166                                    3613        3288      1   1508      1.48         -   43
  archaea     MAG_386_1_166                                    1217         600      1   1508      1.35         -   42
  archaea     MAG_386_1_167                                     735         721      1   1508     -0.60         -   53
  archaea     MAG_386_1_168                                     659         674      1   1508      0.25         -   56
  archaea     MAG_386_1_168                                      73          62      1   1508     -0.54         -   33
  archaea     MAG_386_1_171                                     391         379      1   1508      1.21         -   38
  archaea     MAG_386_1_177                                     290         279      1   1508      3.55         -   33
  archaea     MAG_386_1_178                                    1115        1077      1   1508      3.21         -   28
  archaea     MAG_386_1_180                                     147         166      1   1508     -0.10         -   50
  archaea     MAG_386_1_180                                     264         238      1   1508      0.16         -   44
  archaea     MAG_386_1_182                                     522         506      1   1508      1.09         -   47
  archaea     MAG_386_1_183                                     889         906      1   1508      0.96         -   44
  archaea     MAG_386_1_183                                     483         473      1   1508     -0.45         -   45
  archaea     MAG_386_1_184                                     626         615      1   1508      5.59         -   50
  archaea     MAG_386_1_185                                     829         817      1   1508      0.52         -   38
  archaea     MAG_386_1_186                                     241         230      1   1508      0.61         -   33
  archaea     MAG_386_1_188                                    1286        1293      1   1508     -0.19         -   38
  archaea     MAG_386_1_198                                     100         116      1   1508     -0.99         -   41
  archaea     MAG_386_1_199                                     172         165      1   1508     -0.19         -   38
  archaea     MAG_386_1_202                                    4903        4923      1   1508      2.75         -   43
  archaea     MAG_386_1_202                                    5012        4989      1   1508      1.52         -   46
  archaea     MAG_386_1_202                                    2274        1186      1   1508      1.30         -   42
  archaea     MAG_386_1_206                                     362         375      1   1508      1.32         -   36
  archaea     MAG_386_1_212                                     616         603      1   1508      0.95         -   36
  archaea     MAG_386_1_213                                     134         123      1   1508     -0.54         -   42
  archaea     MAG_386_1_214                                     527         537      1   1508     -0.45         -   36
  archaea     MAG_386_1_218                                     264         279      1   1508     -0.88         -   38
  archaea     MAG_386_1_220                                     285         294      1   1508     -0.37         -   40
  archaea     MAG_386_1_220                                     325         300      1   1508      0.46         -   46
  archaea     MAG_386_1_222                                     711         699      1   1508      3.48         -   31
  archaea     MAG_386_1_223                                     297         282      1   1508     -0.90         -   38
  archaea     MAG_386_1_225                                     539         512      1   1508      1.53         -   43
  archaea     MAG_386_1_227                                     736         716      1   1508     -0.52         -   57
  archaea     MAG_386_1_228                                     336         325      1   1508      1.21         -   33
  archaea     MAG_386_1_230                                    1606        1596      1   1508     -0.45         -   36
  archaea     MAG_386_1_233                                     263         270      1   1508     -0.19         -   38
  archaea     MAG_386_1_235                                     492         512      1   1508     -0.52         -   43
  archaea     MAG_386_1_235                                     650         633      1   1508     -0.24         -   44
  archaea     MAG_386_1_237                                     114          94      1   1508      0.90         -   57
  archaea     MAG_386_1_239                                     280         306      1   1508      2.22         -   37
  archaea     MAG_386_1_243                                      14           4      1   1508     -0.25         -   36
  archaea     MAG_386_1_246                                    1133        1158      1   1508     -0.80         -   42
  archaea     MAG_386_1_248                                     161         140      1   1508     -0.61         -   50
  archaea     MAG_386_1_249                                     427         435      1   1508      0.55         -   56
  archaea     MAG_386_1_249                                    2265        2251      1   1508      2.26         -   47
  archaea     MAG_386_1_251                                     125         168      1   1508      0.72         -   34
  archaea     MAG_386_1_251                                     603         579      1   1508      2.03         -   36
  archaea     MAG_386_1_252                                     136         118      1   1508      1.08         -   47
  archaea     MAG_386_1_253                                    1728        1717      1   1508     -0.60         -   42
  archaea     MAG_386_1_254                                     481         461      1   1508     -0.19         -   48
  archaea     MAG_386_1_256                                       4          33      1   1508      8.91         -   47
  archaea     MAG_386_1_256                                      81          67      1   1508      1.46         -   33
  archaea     MAG_386_1_257                                    1871        1896      1   1508      8.44         -   38
  archaea     MAG_386_1_257                                    2267        2238      1   1508     -0.39         -   50
  archaea     MAG_386_1_258                                     547           6      1   1508      0.12         -   44
  archaea     MAG_386_1_259                                    1712        1725      1   1508      0.10         -   50
  archaea     MAG_386_1_259                                    1872        1864      1   1508     -0.07         -   44
  archaea     MAG_386_1_260                                    1736        1749      1   1508      0.10         -   50
  archaea     MAG_386_1_260                                    1134        1104      1   1508     -0.19         -   48
  archaea     MAG_386_1_261                                    1144        1158      1   1508     -0.81         -   47
  archaea     MAG_386_1_261                                    2187        2148      1   1508      1.06         -   55
  archaea     MAG_386_1_262                                     972         957      1   1508      1.98         -   50
  archaea     MAG_386_1_263                                    1792        1815      1   1508      0.43         -   46
  archaea     MAG_386_1_263                                     963         933      1   1508     -0.19         -   45
  archaea     MAG_386_1_264                                    2086        2106      1   1508     -0.52         -   33
  archaea     MAG_386_1_264                                    1117        1107      1   1508      1.59         -   45
  archaea     MAG_386_1_265                                     667         681      1   1508     -0.81         -   47
  archaea     MAG_386_1_265                                     909         888      1   1508      2.40         -   41
  archaea     MAG_386_1_266                                    1766        1779      1   1508      3.38         -   36
  archaea     MAG_386_1_266                                    1993        1974      1   1508      2.84         -   40
  archaea     MAG_386_1_267                                     403         441      1   1508     -0.91         -   54
  archaea     MAG_386_1_267                                     360         344      1   1508     -0.99         -   41
  archaea     MAG_386_1_268                                    1792        1800      1   1508     -0.72         -   44
  archaea     MAG_386_1_268                                    2034        2022      1   1508     -0.61         -   38
  archaea     MAG_386_1_269                                    2027        2049      1   1508      0.52         -   52
  archaea     MAG_386_1_269                                    2100        2076      1   1508      0.82         -   36
  archaea     MAG_386_1_271                                     413         400      1   1508     -0.79         -   43
  archaea     MAG_386_1_273                                    2425        2463      1   1508      0.71         -   41
  archaea     MAG_386_1_273                                    2070        2056      1   1508      2.26         -   60
  archaea     MAG_386_1_279                                     410         387      1   1508      2.49         -   50
  archaea     MAG_386_1_280                                     364         329      1   1508     -0.16         -   42
  archaea     MAG_386_1_284                                     839         814      1   1508      0.46         -   58
  archaea     MAG_386_1_285                                     907         918      1   1508     -0.30         -   50
  archaea     MAG_386_1_285                                     473         441      1   1508      1.68         -   36
  archaea     MAG_386_1_286                                     255         246      1   1508     -0.37         -   30
  archaea     MAG_386_1_287                                      43          28      1   1508     -0.90         -   38
  archaea     MAG_386_1_292                                     128         105      1   1508      1.27         -   46
  archaea     MAG_386_1_293                                     200         192      1   1508     -0.28         -   44
  archaea     MAG_386_1_297                                    1310        1295      1   1508      1.14         -   44
  archaea     MAG_386_1_298                                      74          86      1   1508      3.10         -   31
  archaea     MAG_386_1_300                                     744         758      1   1508     -0.64         -   40
  archaea     MAG_386_1_301                                     251         261      1   1508     -0.45         -   45
  archaea     MAG_386_1_301                                    1099        1065      1   1508      0.64         -   49
  archaea     MAG_386_1_302                                     223         210      1   1508     -0.72         -   43
  archaea     MAG_386_1_304                                     653          98      1   1508      0.75         -   41
  archaea     MAG_386_1_306                                     361         351      1   1508     -0.90         -   55
  archaea     MAG_386_1_307                                     203         189      1   1508      0.03         -   47
  archaea     MAG_386_1_310                                     447         437      1   1508      3.64         -   36
  archaea     MAG_386_1_313                                     159         174      1   1508     -0.90         -   44
  archaea     MAG_386_1_314                                     331         342      1   1508     -0.52         -   33
  archaea     MAG_386_1_314                                     504         491      1   1508      0.10         -   50
  archaea     MAG_386_1_316                                    1599        1575      1   1508      0.34         -   44
  archaea     MAG_386_1_318                                     265         225      1   1508      0.97         -   32
  archaea     MAG_386_1_322                                     439         414      1   1508      1.11         -   42
  archaea     MAG_386_1_324                                     862         853      1   1508     -0.37         -   40
  archaea     MAG_386_1_326                                      47          78      1   1508     -0.12         -   41
  archaea     MAG_386_1_327                                     427         398      1   1508     -0.10         -   30
  archaea     MAG_386_1_330                                     339         327      1   1508      3.46         -   31
  archaea     MAG_386_1_331                                    1373        1363      1   1508      1.43         -   36
  archaea     MAG_386_1_333                                     498         486      1   1508      1.41         -   46
  archaea     MAG_386_1_334                                    1017        1002      1   1508     -0.90         -   44
  archaea     MAG_386_1_336                                     174         144      1   1508      1.86         -   42
  archaea     MAG_386_1_339                                     569         549      1   1508      0.90         -   57
  archaea     MAG_386_1_341                                     359         345      1   1508     -0.14         -   53
  archaea     MAG_386_1_342                                     235         245      1   1508     -0.82         -   36
  archaea     MAG_386_1_344                                     202         212      1   1508      0.74         -   36
  archaea     MAG_386_1_344                                     533         523      1   1508     -0.45         -   36
  archaea     MAG_386_1_348                                     195         186      1   1508     -0.37         -   30
  archaea     MAG_386_1_350                                     411         399      1   1508     -0.42         -   46
  archaea     MAG_386_1_351                                     208         197      1   1508     -0.54         -   42
  archaea     MAG_386_1_352                                     528         537      1   1508     -0.81         -   50
  archaea     MAG_386_1_357                                      67          76      1   1508     -0.37         -   40
  archaea     MAG_386_1_358                                     342         351      1   1508     -0.37         -   30
  archaea     MAG_386_1_358                                    1327        1298      1   1508     -0.10         -   33
  archaea     MAG_386_1_359                                    1211        1198      1   1508      1.76         -   64
  archaea     MAG_386_1_360                                     154         141      1   1508     -0.72         -   43
  archaea     MAG_386_1_366                                    1505        1526      1   1508      3.82         -   45
  archaea     MAG_386_1_366                                      93          73      1   1508      0.70         -   38
  archaea     MAG_386_1_369                                     335         348      1   1508      2.93         -   50
  archaea     MAG_386_1_374                                      56          68      1   1508     -0.63         -   46
  archaea     MAG_386_1_376                                     164         179      1   1508     -0.90         -   31
  archaea     MAG_386_1_376                                    1048        1034      1   1508      1.23         -   40
  archaea     MAG_386_1_377                                     798         836      1   1508      0.12         -   51
  archaea     MAG_386_1_382                                     318         302      1   1508      1.05         -   41
  archaea     MAG_386_1_386                                      77          89      1   1508      1.62         -   46
  archaea     MAG_386_1_388                                     547         571      1   1508     -0.71         -   44
  archaea     MAG_386_1_388                                     441         429      1   1508      0.15         -   31
  archaea     MAG_386_1_390                                     419         429      1   1508     -0.45         -   45
  archaea     MAG_386_1_390                                     305         147      1   1508      0.99         -   50
  archaea     MAG_386_1_391                                     247         238      1   1508      0.65         -   50
  archaea     MAG_386_1_392                                     441         457      1   1508     -0.56         -   47
  archaea     MAG_386_1_394                                     312         303      1   1508     -0.37         -   30
  archaea     MAG_386_1_395                                      36          45      1   1508     -0.37         -   30
  archaea     MAG_386_1_395                                     245         234      1   1508     -0.54         -   33
  archaea     MAG_386_1_396                                     275         254      1   1508      1.47         -   41
  archaea     MAG_386_1_397                                    2081        2100      1   1508      1.63         -   35
  archaea     MAG_386_1_397                                     220         209      1   1508      3.11         -   50
  archaea     MAG_386_1_399                                     804         780      1   1508      4.44         -   44
  archaea     MAG_386_1_400                                     329         320      1   1508     -0.37         -   50
  archaea     MAG_386_1_401                                    1240        1252      1   1508     -0.63         -   31
  archaea     MAG_386_1_405                                     910         894      1   1508     -0.81         -   29
  archaea     MAG_386_1_406                                      92          72      1   1508      2.49         -   38
  archaea     MAG_386_1_410                                    1819        1830      1   1508     -0.54         -   33
  archaea     MAG_386_1_410                                    1102        1079      1   1508      2.49         -   42
  archaea     MAG_386_1_412                                     394         414      1   1508      0.70         -   48
  archaea     MAG_386_1_416                                     165         157      1   1508      1.76         -   44
  archaea     MAG_386_1_417                                     531         517      1   1508      1.23         -   47
  archaea     MAG_386_1_418                                     993         979      1   1508     -0.81         -   40
  archaea     MAG_386_1_419                                     138         124      1   1508      1.44         -   40
  archaea     MAG_386_1_421                                     472         459      1   1508      5.42         -   50
  archaea     MAG_386_1_422                                     172         184      1   1508      2.85         -   38
  archaea     MAG_386_1_422                                     707         693      1   1508      2.07         -   47
  archaea     MAG_386_1_423                                     270         262      1   1508      1.18         -   44
  archaea     MAG_386_1_425                                     272         282      1   1508      1.59         -   45
  archaea     MAG_386_1_426                                    1006         992      1   1508     -0.81         -   27
  archaea     MAG_386_1_427                                      89         126      1   1508     -0.82         -   45
  archaea     MAG_386_1_427                                     661         653      1   1508      2.18         -   56
  archaea     MAG_386_1_428                                     178         192      1   1508      1.23         -   33
  archaea     MAG_386_1_429                                      48          39      1   1508      1.67         -   50
  archaea     MAG_386_1_431                                     162         182      1   1508     -0.19         -   38
  archaea     MAG_386_1_433                                     432         401      1   1508     -0.27         -   50
  archaea     MAG_386_1_435                                     317         303      1   1508      1.39         -   33
  archaea     MAG_386_1_442                                     664         677      1   1508     -0.72         -   36
  archaea     MAG_386_1_442                                     672         654      1   1508      2.93         -   32
  archaea     MAG_386_1_443                                     996         985      1   1508     -0.99         -   42
  archaea     MAG_386_1_445                                     561         568      1   1508     -0.19         -   38
  archaea     MAG_386_1_450                                     519         531      1   1508     -0.63         -   31
  archaea     MAG_386_1_451                                     566         551      1   1508     -0.90         -   38
  archaea     MAG_386_1_453                                     430         411      1   1508      4.02         -   40
  archaea     MAG_386_1_454                                      60          35      1   1508      0.27         -   31
  archaea     MAG_386_1_455                                      10          21      1   1508     -0.54         -   42
  archaea     MAG_386_1_455                                     328         297      1   1508      2.62         -   38
  archaea     MAG_386_1_457                                      37          45      1   1508      1.76         -   44
  archaea     MAG_386_1_458                                      41          56      1   1508     -0.90         -   31
  archaea     MAG_386_1_459                                      24         711      1   1508      1.44         -   43
  archaea     MAG_386_1_459                                     274         261      1   1508     -0.72         -   43
  archaea     MAG_386_1_460                                    1078        1068      1   1508     -0.45         -   36
  archaea     MAG_386_1_466                                     977         968      1   1508      2.52         -   50
  archaea     MAG_386_1_467                                     627         618      1   1508     -0.37         -   30
  archaea     MAG_386_1_468                                     532         525      1   1508     -0.19         -   38
  archaea     MAG_386_1_470                                     538         546      1   1508     -0.28         -   33
  archaea     MAG_386_1_471                                      69          60      1   1508     -0.37         -   40
  archaea     MAG_386_1_475                                    1117        1127      1   1508      0.22         -   45
  archaea     MAG_386_1_475                                    1077        1062      1   1508      3.20         -   31
  archaea     MAG_386_1_476                                     579         570      1   1508     -0.37         -   30
  archaea     MAG_386_1_478                                     319         303      1   1508     -0.97         -   41
  archaea     MAG_386_1_481                                     124         110      1   1508      2.92         -   33
  archaea     MAG_386_1_484                                    1363        1373      1   1508      1.43         -   36
  archaea     MAG_386_1_484                                    2333        2314      1   1508      2.78         -   45
  archaea     MAG_386_1_487                                     996         980      1   1508     -0.99         -   35
  archaea     MAG_386_1_489                                     309         275      1   1508     -0.55         -   40
  archaea     MAG_386_1_490                                     372         397      1   1508      0.20         -   46
  archaea     MAG_386_1_491                                     995         987      1   1508     -0.28         -   44
  archaea     MAG_386_1_493                                     761         746      1   1508      3.20         -   44
  archaea     MAG_386_1_495                                     622         632      1   1508      0.70         -   45
  archaea     MAG_386_1_495                                    1796        1787      1   1508     -0.37         -   30
  archaea     MAG_386_1_496                                    1139        1120      1   1508      0.99         -   45
  archaea     MAG_386_1_498                                     117         110      1   1508     -0.19         -   38
  archaea     MAG_386_1_500                                     565         597      1   1508      3.73         -   45
  archaea     MAG_386_1_500                                     810         780      1   1508      0.58         -   42
  archaea     MAG_386_1_501                                     315         323      1   1508     -0.07         -   44
  archaea     MAG_386_1_501                                      32          15      1   1508      5.06         -   44
  archaea     MAG_386_1_505                                     250         284      1   1508      2.27         -   54
  archaea     MAG_386_1_508                                     152         138      1   1508     -0.81         -   40
  archaea     MAG_386_1_509                                     358         346      1   1508      0.52         -   38
  archaea     MAG_386_1_510                                      99          84      1   1508     -0.90         -   31
  archaea     MAG_386_1_511                                     155         146      1   1508     -0.97         -   50
  archaea     MAG_386_1_512                                     306         279      1   1508      4.19         -   32
  archaea     MAG_386_1_514                                     497         489      1   1508     -0.28         -   44
  archaea     MAG_386_1_515                                      51          33      1   1508     -1.00         -   42
  archaea     MAG_386_1_518                                    2324        2342      1   1508      1.65         -   42
  archaea     MAG_386_1_518                                      64          49      1   1508     -0.08         -   44
  archaea     MAG_386_1_519                                     665         654      1   1508     -0.52         -   33
  archaea     MAG_386_1_522                                     688         702      1   1508     -0.81         -   40
  archaea     MAG_386_1_529                                     717         702      1   1508      1.92         -   31
  archaea     MAG_386_1_530                                     261         278      1   1508     -0.87         -   56
  archaea     MAG_386_1_533                                      71          57      1   1508      5.49         -   33
  archaea     MAG_386_1_534                                     854         630      1   1508     -0.38         -   45
  archaea     MAG_386_1_538                                    2254        2268      1   1508      0.06         -   33
  archaea     MAG_386_1_538                                    3285        2843      1   1508      1.53         -   42
  archaea     MAG_386_1_539                                    1029        1014      1   1508      5.24         -   38
  archaea     MAG_386_1_540                                     606         618      1   1508     -0.63         -   31
  archaea     MAG_386_1_540                                    1089        1078      1   1508      1.71         -   50
  archaea     MAG_386_1_543                                     838         878      1   1508      3.03         -   44
  archaea     MAG_386_1_543                                     853         842      1   1508     -0.54         -   33
  archaea     MAG_386_1_544                                     656         699      1   1508      1.53         -   48
  archaea     MAG_386_1_545                                     204         194      1   1508     -0.45         -   45
  archaea     MAG_386_1_547                                     427         441      1   1508      2.07         -   40
  archaea     MAG_386_1_547                                     788         777      1   1508     -0.54         -   33
  archaea     MAG_386_1_549                                     378         366      1   1508     -0.63         -   38
  archaea     MAG_386_1_551                                     289         331      1   1508      1.83         -   40
  archaea     MAG_386_1_551                                    1329        1313      1   1508     -0.97         -   53
  archaea     MAG_386_1_552                                     767         783      1   1508      0.47         -   47
  archaea     MAG_386_1_553                                    1170        1185      1   1508     -0.08         -   50
  archaea     MAG_386_1_553                                    1084        1069      1   1508      1.14         -   44
  archaea     MAG_386_1_557                                    2014        2028      1   1508      1.23         -   40
  archaea     MAG_386_1_557                                    1161        1152      1   1508      1.67         -   50
  archaea     MAG_386_1_560                                     176         192      1   1508      3.11         -   53
  archaea     MAG_386_1_561                                     133         143      1   1508      1.14         -   45
  archaea     MAG_386_1_561                                     551         536      1   1508      0.56         -   44
  archaea     MAG_386_1_563                                     443         477      1   1508      1.51         -   40
  archaea     MAG_386_1_564                                     828         806      1   1508      3.40         -   39
  archaea     MAG_386_1_573                                     517         527      1   1508     -0.90         -   45
  archaea     MAG_386_1_575                                     245         267      1   1508      2.58         -   35
  archaea     MAG_386_1_584                                    1230        1203      1   1508      2.13         -   43
  archaea     MAG_386_1_585                                      42          57      1   1508     -0.90         -   44
  archaea     MAG_386_1_585                                      74          67      1   1508     -0.19         -   38
  archaea     MAG_386_1_586                                     685         678      1   1508     -0.19         -   38
  archaea     MAG_386_1_591                                     261         279      1   1508      0.87         -   47
  archaea     MAG_386_1_591                                     515         507      1   1508     -0.72         -   44
  archaea     MAG_386_1_592                                      60          53      1   1508     -0.19         -   38
  archaea     MAG_386_1_593                                     545         600      1   1508     -0.36         -   38
  archaea     MAG_386_1_596                                     272         258      1   1508     -0.58         -   47
  archaea     MAG_386_1_597                                     441         432      1   1508      0.46         -   60
  archaea     MAG_386_1_598                                     878         886      1   1508     -0.28         -   33
  archaea     MAG_386_1_600                                     119          95      1   1508     -0.03         -   48
  archaea     MAG_386_1_601                                     371         378      1   1508     -0.19         -   38
  archaea     MAG_386_1_602                                    1366        1348      1   1508     -0.96         -   42
  archaea     MAG_386_1_607                                    1182        1163      1   1508      4.02         -   35
  archaea     MAG_386_1_609                                     538         546      1   1508     -0.28         -   33
  archaea     MAG_386_1_609                                     768         744      1   1508      0.34         -   48
  archaea     MAG_386_1_610                                      33          22      1   1508      1.45         -   42
  archaea     MAG_386_1_611                                    1201        1188      1   1508      1.36         -   50
  archaea     MAG_386_1_612                                    4406        4434      1   1508     -0.02         -   31
  archaea     MAG_386_1_612                                    1124        1134      1   1508     -0.45         -   27
  archaea     MAG_386_1_612                                    2288        2279      1   1508      1.67         -   50
  archaea     MAG_386_1_612                                    5611        5601      1   1508     -0.43         -   36
  archaea     MAG_386_1_614                                     416         423      1   1508     -0.19         -   38
